@RELATION note-complete

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 REAL
@ATTRIBUTE attribute_7 REAL
@ATTRIBUTE attribute_8 REAL
@ATTRIBUTE attribute_9 REAL
@ATTRIBUTE attribute_10 REAL
@ATTRIBUTE attribute_11 REAL
@ATTRIBUTE attribute_12 REAL
@ATTRIBUTE attribute_13 REAL
@ATTRIBUTE attribute_14 REAL
@ATTRIBUTE attribute_15 REAL
@ATTRIBUTE attribute_16 REAL
@ATTRIBUTE attribute_17 REAL
@ATTRIBUTE attribute_18 REAL
@ATTRIBUTE attribute_19 REAL
@ATTRIBUTE attribute_20 REAL
@ATTRIBUTE attribute_21 REAL
@ATTRIBUTE attribute_22 REAL
@ATTRIBUTE attribute_23 REAL
@ATTRIBUTE attribute_24 REAL
@ATTRIBUTE attribute_25 REAL
@ATTRIBUTE attribute_26 REAL
@ATTRIBUTE attribute_27 {Note-3,Note-4}

@DATA
0.136918,0.147040,0.077620,0.148614,0.132678,0.069817,0.087620,0.086976,0.112717,0.170476,0.109744,0.080406,0.123331,0.155425,0.078419,0.088178,0.081543,0.112475,0.141295,0.168756,0.074108,0.183410,0.123497,0.066543,0.075497,0.073671,0.093224,Note-3
0.145012,0.161039,0.073464,0.159882,0.139303,0.068268,0.083314,0.081382,0.088334,0.172931,0.121404,0.077117,0.133120,0.162463,0.077257,0.085276,0.079280,0.091151,0.144856,0.180583,0.070034,0.195256,0.131460,0.063761,0.071397,0.070763,0.071890,Note-3
0.145425,0.162679,0.073867,0.163841,0.139459,0.068852,0.083113,0.080567,0.082197,0.172126,0.122954,0.077227,0.135797,0.163690,0.077861,0.084406,0.080819,0.085120,0.143010,0.182388,0.069848,0.197646,0.134348,0.064455,0.071980,0.069843,0.066482,Note-3
0.150113,0.136144,0.080663,0.138719,0.145234,0.072760,0.091755,0.090794,0.093818,0.181845,0.107531,0.081860,0.119689,0.160984,0.078973,0.090578,0.084768,0.093772,0.153640,0.165124,0.075914,0.177655,0.134413,0.067936,0.079330,0.075451,0.070537,Note-3
0.156668,0.135812,0.079994,0.138966,0.152417,0.072760,0.089154,0.090246,0.083983,0.188903,0.108602,0.080105,0.119181,0.168681,0.078988,0.089683,0.082982,0.082876,0.161145,0.167664,0.073761,0.182766,0.138292,0.066145,0.076840,0.072262,0.061125,Note-3
0.141582,0.154691,0.076971,0.157337,0.137768,0.071960,0.089310,0.085799,0.084582,0.180472,0.117008,0.081508,0.127713,0.156743,0.078897,0.090734,0.082625,0.084300,0.150908,0.178616,0.074300,0.188621,0.127994,0.065884,0.076070,0.072237,0.065370,Note-3
0.141245,0.162765,0.076337,0.162020,0.136038,0.070461,0.087600,0.085311,0.078223,0.184531,0.120278,0.081518,0.130872,0.159047,0.077861,0.087691,0.079828,0.078374,0.151265,0.183007,0.073178,0.194492,0.126068,0.065129,0.076442,0.069797,0.060622,Note-3
0.146637,0.166543,0.074325,0.165607,0.139544,0.069737,0.084899,0.082891,0.069817,0.182640,0.129031,0.079184,0.138191,0.158806,0.075311,0.087318,0.078671,0.070849,0.148569,0.192419,0.071925,0.203184,0.126284,0.063756,0.073822,0.067790,0.052251,Note-3
0.143106,0.165879,0.076900,0.167257,0.140319,0.070959,0.086951,0.084632,0.063997,0.181900,0.128497,0.081483,0.134775,0.161628,0.078082,0.087630,0.080542,0.065461,0.147940,0.189225,0.074561,0.200568,0.129579,0.064299,0.074923,0.070939,0.047965,Note-3
0.141451,0.183505,0.071397,0.185799,0.140817,0.066809,0.081548,0.079823,0.048851,0.179119,0.137748,0.079043,0.150219,0.158836,0.076759,0.086010,0.079023,0.053242,0.136591,0.206580,0.072177,0.217622,0.119689,0.062508,0.073243,0.069827,0.041763,Note-3
0.146984,0.187499,0.067478,0.189562,0.143337,0.064203,0.075708,0.075713,0.049515,0.180090,0.140902,0.076216,0.154887,0.162398,0.073072,0.082067,0.075024,0.055345,0.138815,0.208280,0.067493,0.219573,0.124423,0.060194,0.069702,0.067961,0.043559,Note-3
