@RELATION xperia-complete

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 REAL
@ATTRIBUTE attribute_7 REAL
@ATTRIBUTE attribute_8 REAL
@ATTRIBUTE attribute_9 REAL
@ATTRIBUTE attribute_10 REAL
@ATTRIBUTE attribute_11 REAL
@ATTRIBUTE attribute_12 REAL
@ATTRIBUTE attribute_13 REAL
@ATTRIBUTE attribute_14 REAL
@ATTRIBUTE attribute_15 REAL
@ATTRIBUTE attribute_16 REAL
@ATTRIBUTE attribute_17 REAL
@ATTRIBUTE attribute_18 REAL
@ATTRIBUTE attribute_19 REAL
@ATTRIBUTE attribute_20 REAL
@ATTRIBUTE attribute_21 REAL
@ATTRIBUTE attribute_22 REAL
@ATTRIBUTE attribute_23 REAL
@ATTRIBUTE attribute_24 REAL
@ATTRIBUTE attribute_25 REAL
@ATTRIBUTE attribute_26 REAL
@ATTRIBUTE attribute_27 {Xperia-C,Xperia-Z,Xperia-Z1}

@DATA
0.187849,0.143133,0.063395,0.148148,0.187649,0.063679,0.069396,0.068688,0.068064,0.205480,0.127413,0.063935,0.131704,0.210757,0.064994,0.065217,0.066214,0.064286,0.183642,0.174142,0.056987,0.179536,0.187381,0.056368,0.055181,0.054892,0.051871,Xperia-Z
0.179323,0.183118,0.038471,0.184298,0.179269,0.037167,0.039472,0.039449,0.119433,0.196700,0.159137,0.039969,0.160852,0.203437,0.041404,0.038696,0.039992,0.119813,0.174054,0.198120,0.035033,0.198105,0.180876,0.034326,0.032153,0.032720,0.114613,Xperia-Z1
0.184138,0.148087,0.063372,0.148407,0.183529,0.065023,0.073002,0.070310,0.064131,0.206968,0.131824,0.066964,0.131050,0.199911,0.068444,0.071731,0.066986,0.056122,0.184703,0.176814,0.057758,0.178866,0.177289,0.061573,0.061692,0.058345,0.042960,Xperia-Z
0.221045,0.121725,0.061379,0.121733,0.216613,0.062852,0.074884,0.067507,0.052263,0.232712,0.121762,0.061937,0.122476,0.228184,0.062540,0.065722,0.061714,0.042952,0.217237,0.157940,0.053928,0.162603,0.211028,0.055222,0.056851,0.053147,0.032043,Xperia-Z
0.240002,0.159281,0.025782,0.183885,0.251831,0.029789,0.026243,0.025308,0.057878,0.257976,0.160228,0.028976,0.184626,0.227336,0.027069,0.031210,0.024628,0.057951,0.238314,0.200984,0.026790,0.221981,0.193673,0.019698,0.025952,0.019345,0.053264,Xperia-C
0.158423,0.103454,0.077211,0.101484,0.163912,0.081807,0.093802,0.091102,0.128805,0.181692,0.098836,0.079836,0.098055,0.179453,0.083488,0.086507,0.083978,0.108154,0.163800,0.134426,0.073568,0.136754,0.169266,0.076691,0.078490,0.075033,0.091972,Xperia-Z
0.169079,0.210064,0.052239,0.218330,0.164803,0.049142,0.053783,0.053659,0.028902,0.187395,0.201442,0.049755,0.208885,0.186347,0.046868,0.047210,0.048063,0.024036,0.176817,0.224166,0.045362,0.233875,0.174938,0.041172,0.041645,0.042995,0.019030,Xperia-Z1
0.186421,0.170783,0.061149,0.175051,0.183982,0.060978,0.064302,0.062800,0.034534,0.217721,0.148786,0.062108,0.150593,0.206247,0.059520,0.064361,0.060524,0.030139,0.189656,0.200208,0.052255,0.204670,0.176010,0.051742,0.054293,0.051266,0.019900,Xperia-Z
0.169675,0.134679,0.070028,0.138450,0.171311,0.070310,0.077643,0.075754,0.092151,0.189329,0.121115,0.070719,0.124521,0.199167,0.073092,0.071523,0.073263,0.077271,0.167369,0.162380,0.062785,0.169652,0.178182,0.066012,0.065455,0.064629,0.063536,Xperia-Z
0.170864,0.142681,0.073330,0.147834,0.171147,0.073560,0.080573,0.080059,0.059952,0.212010,0.124172,0.077293,0.126715,0.184079,0.072608,0.078364,0.075531,0.049228,0.180718,0.176806,0.068630,0.181320,0.157881,0.065165,0.070712,0.063900,0.034869,Xperia-Z
0.149661,0.179354,0.042506,0.185059,0.158361,0.043259,0.042227,0.045774,0.153798,0.191663,0.131633,0.050042,0.137531,0.182024,0.048622,0.049879,0.050360,0.158245,0.150996,0.189475,0.041738,0.195156,0.151198,0.041909,0.039286,0.041195,0.149048,Xperia-Z1
0.233679,0.123153,0.057535,0.123465,0.226972,0.057096,0.065395,0.062443,0.050262,0.241123,0.122945,0.056791,0.125421,0.235293,0.058182,0.059914,0.057312,0.043019,0.225507,0.159167,0.050054,0.163287,0.215973,0.049890,0.053898,0.048805,0.033419,Xperia-Z
0.235854,0.091278,0.071101,0.090559,0.241710,0.072160,0.070204,0.069062,0.058073,0.233892,0.095256,0.070092,0.096544,0.237252,0.074138,0.072360,0.069981,0.050484,0.230978,0.124042,0.059160,0.125725,0.238918,0.062927,0.063579,0.061149,0.033522,Xperia-Z
0.219503,0.148619,0.030457,0.179052,0.250118,0.040768,0.035788,0.029182,0.066513,0.246767,0.150695,0.029449,0.176756,0.234465,0.033335,0.036687,0.027312,0.064533,0.228684,0.189568,0.031368,0.209217,0.201676,0.025842,0.032425,0.022600,0.058619,Xperia-C
0.180621,0.177922,0.056144,0.180889,0.180918,0.057981,0.061528,0.059848,0.044149,0.206492,0.149701,0.060480,0.155308,0.204075,0.059848,0.060948,0.060956,0.042194,0.176687,0.204551,0.051199,0.211578,0.172538,0.051073,0.051288,0.050232,0.030853,Xperia-Z
0.213871,0.093367,0.078044,0.093546,0.216256,0.077782,0.072661,0.071747,0.082725,0.214367,0.096009,0.077615,0.095853,0.218992,0.080150,0.076239,0.072990,0.067786,0.213219,0.127804,0.065217,0.130027,0.215404,0.065752,0.067975,0.066799,0.047804,Xperia-Z
0.233545,0.136821,0.047265,0.139967,0.242298,0.047436,0.049466,0.051556,0.051645,0.249585,0.121695,0.050493,0.124752,0.251192,0.050641,0.050783,0.051861,0.048998,0.230690,0.159829,0.040141,0.164402,0.242015,0.042759,0.040320,0.040840,0.039004,Xperia-Z
0.264629,0.159465,0.032556,0.164633,0.267975,0.031091,0.032720,0.033820,0.013110,0.274705,0.145663,0.034125,0.147961,0.281279,0.033411,0.033397,0.035226,0.014233,0.248425,0.187381,0.026235,0.192586,0.258792,0.026161,0.025804,0.026592,0.008024,Xperia-Z
0.140543,0.084231,0.038569,0.146554,0.161273,0.073739,0.064351,0.045832,0.244909,0.180812,0.075220,0.042480,0.138721,0.139717,0.063635,0.074516,0.041095,0.243804,0.193321,0.130633,0.057101,0.144368,0.104900,0.037294,0.067642,0.035509,0.229231,Xperia-C
0.163685,0.198128,0.053379,0.205912,0.160938,0.050663,0.058998,0.058680,0.049615,0.171376,0.194496,0.055979,0.200130,0.165563,0.054194,0.056135,0.055452,0.046674,0.155420,0.223343,0.052580,0.229048,0.152354,0.049289,0.049809,0.050485,0.037671,Xperia-Z1
