@RELATION note-complete
@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 REAL
@ATTRIBUTE attribute_7 REAL
@ATTRIBUTE attribute_8 REAL
@ATTRIBUTE attribute_9 REAL
@ATTRIBUTE attribute_10 REAL
@ATTRIBUTE attribute_11 REAL
@ATTRIBUTE attribute_12 REAL
@ATTRIBUTE attribute_13 REAL
@ATTRIBUTE attribute_14 REAL
@ATTRIBUTE attribute_15 REAL
@ATTRIBUTE attribute_16 REAL
@ATTRIBUTE attribute_17 REAL
@ATTRIBUTE attribute_18 REAL
@ATTRIBUTE attribute_19 REAL
@ATTRIBUTE attribute_20 REAL
@ATTRIBUTE attribute_21 REAL
@ATTRIBUTE attribute_22 REAL
@ATTRIBUTE attribute_23 REAL
@ATTRIBUTE attribute_24 REAL
@ATTRIBUTE attribute_25 REAL
@ATTRIBUTE attribute_26 REAL
@ATTRIBUTE attribute_27 {Note-3,Note-4,iphone-4S,iphone-5S,Xperia-C,Xperia-Z}
@DATA
0.147767,0.165350,0.074811,0.168162,0.142437,0.071336,0.087338,0.084915,0.057884,0.167452,0.126060,0.079404,0.141721,0.166441,0.081995,0.089595,0.083984,0.063348,0.135942,0.193244,0.073278,0.209032,0.129099,0.067546,0.075755,0.073572,0.042531,Note-3
0.155116,0.158763,0.042447,0.167611,0.158630,0.043995,0.046199,0.045439,0.181800,0.170518,0.145229,0.047339,0.146527,0.161634,0.046033,0.048815,0.047792,0.186111,0.164776,0.163329,0.040712,0.164906,0.161092,0.040558,0.042806,0.041371,0.180450,Note-4
0.202594,0.143908,0.042550,0.204551,0.221082,0.059000,0.055899,0.044935,0.025480,0.239771,0.137665,0.046111,0.193902,0.196737,0.054191,0.062577,0.042285,0.026761,0.233778,0.200975,0.050107,0.220010,0.153212,0.035365,0.052233,0.035929,0.018391,Xperia-C
0.170290,0.060974,0.097338,0.062343,0.158811,0.096129,0.094462,0.096298,0.163354,0.140694,0.061602,0.089330,0.076973,0.149539,0.111862,0.106223,0.090619,0.173158,0.179812,0.085326,0.091143,0.097861,0.153639,0.093318,0.097475,0.085270,0.116156,iphone-5S
0.179511,0.141792,0.031051,0.150328,0.181772,0.029381,0.029301,0.031642,0.225221,0.177061,0.137712,0.036199,0.142742,0.171250,0.033611,0.035253,0.035641,0.230531,0.196620,0.137267,0.028314,0.138937,0.195274,0.025766,0.027012,0.027639,0.223171,Note-4
0.255072,0.145564,0.039819,0.151885,0.249180,0.034851,0.040308,0.040435,0.042886,0.257476,0.124821,0.041761,0.144975,0.251597,0.042538,0.045571,0.043174,0.048088,0.243261,0.169997,0.035306,0.183683,0.229936,0.032019,0.034985,0.033619,0.037195,Note-3
0.121730,0.072469,0.037000,0.139018,0.154703,0.078527,0.069489,0.046200,0.280864,0.150941,0.070536,0.041850,0.135175,0.131776,0.068788,0.079252,0.043968,0.277714,0.167995,0.128964,0.057816,0.137455,0.092665,0.041012,0.072502,0.038386,0.263205,Xperia-C
0.193092,0.162975,0.057431,0.166589,0.191433,0.057713,0.062963,0.062926,0.044878,0.214895,0.146339,0.058896,0.146280,0.211556,0.059052,0.059967,0.060086,0.042930,0.189649,0.191924,0.051742,0.199799,0.186250,0.050455,0.049385,0.049206,0.031590,Xperia-Z
0.267709,0.122254,0.046498,0.140347,0.251283,0.044218,0.051323,0.048133,0.028235,0.278914,0.111202,0.045072,0.123905,0.262698,0.048568,0.054658,0.044629,0.030354,0.234317,0.173110,0.043453,0.204318,0.199509,0.041415,0.046635,0.038498,0.018746,iphone-4S
0.242985,0.161695,0.036058,0.174737,0.233955,0.034825,0.035655,0.034156,0.045934,0.223112,0.196004,0.032328,0.181995,0.221235,0.034575,0.033311,0.032521,0.044919,0.206469,0.225504,0.028936,0.215378,0.200274,0.027744,0.028598,0.027043,0.040053,iphone-5S
