@RELATION iphone-complete

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 REAL
@ATTRIBUTE attribute_7 REAL
@ATTRIBUTE attribute_8 REAL
@ATTRIBUTE attribute_9 REAL
@ATTRIBUTE attribute_10 REAL
@ATTRIBUTE attribute_11 REAL
@ATTRIBUTE attribute_12 REAL
@ATTRIBUTE attribute_13 REAL
@ATTRIBUTE attribute_14 REAL
@ATTRIBUTE attribute_15 REAL
@ATTRIBUTE attribute_16 REAL
@ATTRIBUTE attribute_17 REAL
@ATTRIBUTE attribute_18 REAL
@ATTRIBUTE attribute_19 REAL
@ATTRIBUTE attribute_20 REAL
@ATTRIBUTE attribute_21 REAL
@ATTRIBUTE attribute_22 REAL
@ATTRIBUTE attribute_23 REAL
@ATTRIBUTE attribute_24 REAL
@ATTRIBUTE attribute_25 REAL
@ATTRIBUTE attribute_26 REAL
@ATTRIBUTE attribute_27 {iphone-4,iphone-4S,iphone-5S,iphone-5}

@DATA
0.211181,0.213430,0.025128,0.213841,0.250055,0.028134,0.022545,0.025487,0.010200,0.229128,0.211862,0.028429,0.212029,0.232121,0.028468,0.023830,0.023907,0.010226,0.180157,0.252508,0.022301,0.258469,0.209332,0.024691,0.020721,0.022366,0.009455,iphone-4
0.229333,0.130121,0.068009,0.125226,0.202998,0.062960,0.066647,0.060622,0.054083,0.207122,0.162417,0.053518,0.179567,0.210565,0.056704,0.052824,0.046093,0.031191,0.198810,0.201534,0.050152,0.203435,0.177267,0.051411,0.048624,0.041802,0.026965,iphone-4
0.250018,0.164490,0.036774,0.174093,0.242414,0.032916,0.036952,0.035961,0.026383,0.253563,0.155629,0.036774,0.157723,0.256100,0.036855,0.039328,0.036629,0.027398,0.206420,0.214275,0.033931,0.228678,0.195175,0.031297,0.035155,0.033729,0.021340,iphone-5
0.216538,0.135159,0.057897,0.140927,0.208120,0.056527,0.058114,0.056205,0.070512,0.185588,0.165811,0.050646,0.164353,0.188923,0.061417,0.057848,0.056382,0.069030,0.183365,0.194707,0.048987,0.189987,0.173480,0.052475,0.052677,0.047183,0.057139,iphone-5S
0.254731,0.200789,0.022237,0.216307,0.243708,0.021787,0.018781,0.018486,0.003173,0.251712,0.203332,0.024254,0.203114,0.247100,0.023817,0.021389,0.021556,0.003725,0.215318,0.246663,0.019385,0.258931,0.203898,0.018370,0.018216,0.016623,0.002595,iphone-4
0.205148,0.117598,0.067257,0.121175,0.199106,0.067032,0.080920,0.073066,0.068699,0.207371,0.102324,0.066460,0.118242,0.203915,0.072880,0.085173,0.069449,0.074185,0.173311,0.156032,0.064825,0.175333,0.167076,0.067064,0.075539,0.064237,0.056584,iphone-5
0.205679,0.146993,0.058412,0.156499,0.197672,0.054465,0.061425,0.057462,0.061393,0.218544,0.125831,0.054449,0.140339,0.216756,0.060466,0.065388,0.054707,0.063520,0.174520,0.188754,0.053595,0.202731,0.169187,0.053579,0.059234,0.050977,0.047424,iphone-5
0.204052,0.186375,0.049793,0.196023,0.195727,0.049857,0.039901,0.035713,0.042560,0.196280,0.185592,0.048174,0.201059,0.197436,0.052490,0.038963,0.037075,0.042933,0.162648,0.229963,0.046517,0.246830,0.152409,0.045579,0.037524,0.037614,0.040916,iphone-4
0.221793,0.187724,0.035584,0.195419,0.250684,0.038873,0.030369,0.031319,0.008235,0.237568,0.182830,0.037344,0.191128,0.238711,0.039310,0.031898,0.032296,0.008915,0.195226,0.220803,0.030163,0.231093,0.224246,0.032771,0.028429,0.029932,0.007335,iphone-4
0.240214,0.116470,0.064333,0.124896,0.218730,0.057276,0.066371,0.064768,0.046941,0.255013,0.086495,0.061981,0.111556,0.221887,0.066935,0.079857,0.060990,0.055287,0.224860,0.159608,0.056898,0.186821,0.178854,0.048898,0.061465,0.051339,0.031256,iphone-4S
0.250058,0.100246,0.040061,0.110235,0.246949,0.038289,0.040214,0.039538,0.134410,0.258203,0.090498,0.041052,0.106424,0.242881,0.042301,0.045926,0.038813,0.133903,0.229113,0.138833,0.037298,0.153841,0.212164,0.034462,0.036460,0.033407,0.124421,iphone-4S
0.275410,0.122697,0.033472,0.141249,0.276836,0.034938,0.036541,0.035357,0.043501,0.282459,0.121537,0.035937,0.128417,0.273621,0.037749,0.039981,0.034696,0.045604,0.254964,0.163838,0.031055,0.184074,0.234309,0.030056,0.033270,0.029073,0.039360,iphone-4S
0.253289,0.108253,0.059516,0.114480,0.244363,0.058436,0.066565,0.061030,0.034068,0.272969,0.087687,0.054755,0.111411,0.250179,0.062682,0.069900,0.055818,0.034599,0.229395,0.156257,0.051927,0.184460,0.198808,0.050743,0.058614,0.049986,0.019809,iphone-4S
0.198214,0.175177,0.055025,0.159388,0.194621,0.049646,0.057756,0.057078,0.053095,0.202238,0.175054,0.055929,0.151524,0.194600,0.054327,0.063710,0.055066,0.047552,0.193040,0.205852,0.051206,0.197105,0.175608,0.043527,0.051145,0.047285,0.035233,iphone-5S
